States/UTs,District,Year,Crime,Rate
Andhra Pradesh,Anantapur,2014,Murder,134
Andhra Pradesh,Chittoor,2014,Murder,84
Andhra Pradesh,Cuddapah,2014,Murder,80
Andhra Pradesh,East Godavari,2014,Murder,64
Andhra Pradesh,Guntakal Railway,2014,Murder,14
Andhra Pradesh,Guntur,2014,Murder,105
Andhra Pradesh,Guntur,2014,Murder,51
Andhra Pradesh,Krishna,2014,Murder,51
Andhra Pradesh,Kurnool,2014,Murder,118
Andhra Pradesh,Nellore,2014,Murder,78
Andhra Pradesh,Prakasam,2014,Murder,75
Andhra Pradesh,Rajahmundry,2014,Murder,18
Andhra Pradesh,Srikakulam,2014,Murder,30
Andhra Pradesh,Tirupathi Urban,2014,Murder,35
Andhra Pradesh,Vijayawada City,2014,Murder,23
Andhra Pradesh,Vijayawada Railway,2014,Murder,1
Andhra Pradesh,Visakha Rural,2014,Murder,43
Andhra Pradesh,Visakhapatnam,2014,Murder,38
Andhra Pradesh,Vizianagaram,2014,Murder,43
Andhra Pradesh,West Godavari,2014,Murder,90
Arunachal Pradesh,Anjaw,2014,Murder,0
Arunachal Pradesh,Changlang,2014,Murder,9
Arunachal Pradesh,Crime Branch,2014,Murder,0
Arunachal Pradesh,Dibang Valley,2014,Murder,0
Arunachal Pradesh,East Kameng,2014,Murder,4
Arunachal Pradesh,West Kameng,2014,Murder,7
Arunachal Pradesh,Kurung Kumey,2014,Murder,4
Arunachal Pradesh,Lohit,2014,Murder,10
Arunachal Pradesh,Longding,2014,Murder,4
Arunachal Pradesh,Lower Dibang Valley,2014,Murder,2
Arunachal Pradesh,Papum Pare,2014,Murder,13
Arunachal Pradesh,Papum Pare,2014,Murder,7
Arunachal Pradesh,East Siang ,2014,Murder,5
Arunachal Pradesh,Upper Siang,2014,Murder,1
Arunachal Pradesh,West Siang,2014,Murder,10
Arunachal Pradesh,Lower Subansiri,2014,Murder,4
Arunachal Pradesh,Upper Subansiri,2014,Murder,3
Arunachal Pradesh,Tawang,2014,Murder,1
Arunachal Pradesh,Tirap,2014,Murder,2
Assam,Barpeta,2014,Murder,46
Assam,Baksa,2014,Murder,31
Assam,Bongaigaon,2014,Murder,17
Assam,Cachar,2014,Murder,58
Assam,Chirang,2014,Murder,37
Assam,Darrang,2014,Murder,33
Assam,Dhemaji,2014,Murder,18
